Histórico;Solicitante;Órgáo;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgáos;Origem;Destino;Nome;Cargo/Função;Órgáo
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;01:20:00;PR-TRJ - PEGASUS 21;0038-2020;EsAF;08/06/2020;Secretaria-Geral;BELO HORIZONTE;GUANHÃES;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;01:20:00;PR-TRJ - PEGASUS 21;0038-2020;EsAF;08/06/2020;Secretaria-Geral;BELO HORIZONTE;GUANHÃES;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:15:00;PT-MGS - PT-MGS;0039-2020;DTA;16/07/2020;Secretaria-Geral;BELO HORIZONTE;UBERLANDIA;André Valadares da Cruz;Cinegrafista;Secretaria-Geral do Estado de Minas Gerais
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:15:00;PT-MGS - PT-MGS;0039-2020;DTA;16/07/2020;Secretaria-Geral;BELO HORIZONTE;UBERLANDIA;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Carlos Eduardo Amaral Pereira da Silva;Secretário de Estado;Secretaria de Estado de Saúde
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:15:00;PT-MGS - PT-MGS;0039-2020;DTA;16/07/2020;Secretaria-Geral;BELO HORIZONTE;UBERLANDIA;Carlos Eduardo Amaral Pereira da Silva;Secretário de Estado;Secretaria de Estado de Saúde
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Darlan Venáncio Thomaz Pereira;Subsecretário;Secretaria de Estado de Saúde
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:15:00;PT-MGS - PT-MGS;0039-2020;DTA;16/07/2020;Secretaria-Geral;BELO HORIZONTE;UBERLANDIA;Fernando Junqueira Ferraz;Superintendente de Imprensa;Secretaria-Geral do Estado de Minas Gerais
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Fernando Passalio de Avelar;Secretário Adjunto;Secretaria de Estado de Desenvolvimento Econômico
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Lucas de Vasconcelos Gonzalez;Deputado Federal;Cámara Federal
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva;";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:15:00;PT-MGS - PT-MGS;0039-2020;DTA;16/07/2020;Secretaria-Geral;BELO HORIZONTE;UBERLANDIA;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
